Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
<persName><forename>lwqʔ</forename></persName>,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ʕgmyʔ</nationality></persName>,<persName><status>mry</status> <forename>ywnn</forename></persName>,"<persName ref=""mry qwryqws shdʔ""><status>mry</status> <forename>qwryqws</forename> <virtue>shdʔ</virtue></persName>","<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>","<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmydʔ</virtue></persName>",<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,<persName><status>mry</status> <forename>yʕqwb</forename> <virtue>mpsqʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>bṭylʔ</trait></persName>,,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",<persName>d<residence>dsn</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>ʔbʔ</status> <forename>ʔgywnws</forename></persName>,<persName><status>mry</status> <forename>gbryl</forename> d<residence>krsʔ</residence></persName>,<persName><status>mry</status> <forename>šbwr</forename> w<personGrp>ḥth</personGrp></persName>,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",,<persName><status>mry</status> <forename>ṣlybʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>byt qrdw</residence></persName>,<persName><status>mry</status> <forename>gywrgys</forename> <virtue>shdʔ</virtue></persName>,
<persName><forename>ywḥnn</forename></persName>,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>shdʔ</virtue></persName>,<persName><status>mry</status> <forename>qywmʔ</forename> d<residence>dwrʔ</residence></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,"<persName ref=""srgys""><status>mry</status> <forename>srgys</forename></persName>","<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>","<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,absent folios,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",,"<persName ref=""mry ywḥnn ʔwnlmʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>ʔwnlmʔ</addName></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qnqlyʔ</residence></persName>",<persName><status>ʔbʔ</status> <forename>krwnyqws</forename></persName>,<persName><status>mry</status> <forename>sbʔ</forename> <virtue>ʔsyʔ drwḥʔ</virtue></persName>,<group>shdʔ d<residence>dyrʔ dʕdrʔ</residence></group>,"<persName ref=""mry ywḥnn ʔwnlmʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>ʔwnlmʔ</addName></persName>",,"<persName ref=""mry ṭṭws""><status>mry</status> <forename>ṭṭws</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <trait>bṭylʔ</trait></persName>,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,
<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><status>mry</status> <forename>zyʕʔ</forename></persName>,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>","<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔqlyʔ</residence></persName>,"<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ d<virtue>ʔbylʔ</virtue> wtltmʔʔ d<residence>dyrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>",,<persName><status>mry</status> <forename>ʔlyʔ</forename></persName>,"<persName ref=""mry ywḥnn ʔwnlmʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ʔwnlwmʔ</residence></persName>",,"<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmydʔ</virtue></persName>","<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",<persName><status>ʔbʔ</status> <forename>srmyṭʔ</forename></persName>,<persName><status>mry</status> <forename>qwrṭʔ</forename></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>","<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmydʔ</virtue></persName>",,<persName><status>mry</status> <forename>qwmʔ</forename></persName>,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>","<persName ref=""mry qwryqws shdʔ""><status>mry</status> <forename>qwryqws</forename> <virtue>shdʔ</virtue></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>mdnḥyʔ</trait></persName>,<persName><status>mry</status> <forename>ʕzyzʔ</forename></persName>,"<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ d<virtue>ʔbylʔ</virtue> wtltmʔʔ d<residence>dyrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>",<persName><status>mry</status> <forename>šhq</forename></persName>,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>","<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",,<persName><status>mry</status> <forename>mykʔyl</forename></persName>,"<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmydʔ</virtue></persName>",,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,<persName><status>mry</status> <forename>šbwr</forename> w<personGrp>ḥth</personGrp></persName>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyh</personGrp></persName>","<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>",,<persName><status>mry</status> <forename>ywsp</forename></persName>,"<persName ref=""mry ywḥnn ʕlymʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ʕlmʔ</trait></persName>",<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>mʕrbyʔ</trait></persName>,<persName><status>mry</status> <forename>qwmʔ</forename></persName>,<persName><forename>šmwʕny</forename> w<personGrp>bnyh</personGrp></persName>,<persName><status>mry</status> <forename>kwnypʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>",,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>qlyʔ</virtue></persName>",<persName><status>mry</status></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>","<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",<persName><status>mry</status> <forename>mrwtʔ</forename> w<personGrp>ʔḥwh dʔmh</personGrp></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>nqlyʔ</residence></persName>,,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>","<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmydʔ</virtue></persName>",<persName><status>mry</status> <forename>šmʕwn</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>tymnyʔ</trait></persName>,"<persName ref=""mry ṭṭws""><status>mry</status> <forename>ṭṭws</forename></persName>","<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",<persName><status>mry</status> <forename>ʔwkmʔ</forename></persName>,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgrtyʔ</residence></persName>",<persName><forename>šwšn</forename></persName>,,<persName><status>mry</status> <forename>ṣlybʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>nqlyʔ</residence></persName>,,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>yḥydyɁ</virtue></persName>,,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>","<persName ref=""srgys""><status>mry</status> <forename>srgys</forename></persName>",<persName><forename>dnyʔyl</forename> d<residence>tkryt</residence></persName>,<persName><status>mry</status> <forename>ʕbdʔlhʔ</forename></persName>,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",,<persName><status>mry</status> <forename>gywrgys</forename></persName>,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwkyʔ</virtue></persName>","<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ d<virtue>ʔbylʔ</virtue> wtltmʔʔ d<residence>dyrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>grbyyʔ</trait></persName>,<persName><status>mry</status> <forename>kwmʔ</forename></persName>,<persName><forename>šwšn</forename></persName>,<persName><status>mry</status> <forename>ʕbdʔ</forename></persName>,"<persName ref=""mry ywḥnn dqnh""><status>mry</status> <forename>ywḥnn</forename> <addName>dqnh</addName></persName>",<persName><status>mry</status> <forename>ptywn</forename></persName>,,<persName><status>mry</status> <forename>gbrʔyl</forename></persName>,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtɁ</residence></persName>","<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>",<persName><status>mry</status> <forename>mrwtʔ</forename> w<personGrp>ʔḥwhy</personGrp></persName>,<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,,<persName><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ʔqlyʔ</residence></persName>","<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>spryʔ</trait></persName>,<persName><status>mry</status> <forename>ywsp</forename></persName>,<persName><status>mry</status> <forename>ptywn</forename></persName>,"<persName ref=""mry ṭṭws""><forename>ṭṭws</forename></persName>","<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>","<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",,<persName><status>rbn</status> <forename>hwrmyzd</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>znʔ</residence></persName>,,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgtryʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,<persName><status>mry</status> <forename>šhq</forename></persName>,<persName><status>mry</status> <forename>bwktyšwʕ</forename></persName>,<persName><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgrtyʔ</residence></persName>",,<persName><status>mry</status> <forename>sbʔ</forename> <virtue>shdʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>lǧwyʔ</residence></persName>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>yqwbyʔ</nationality></persName>,<persName><status>mry</status> <forename>ʔtnsys</forename></persName>,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",<persName><forename>ywsp</forename> d<residence>ywdbld</residence></persName>,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmyn</residence></persName>",<persName><forename>gdy</forename></persName>,,"<persName ref=""mry sbryšwʕ dbyt qwqʔ""><status>mry</status> <forename>sbryšwʕ</forename> d<residence>byt qwqʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename></persName>,,rasura,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,<persName><status>mry</status> <forename>kwnypʔ</forename></persName>,<persName><status>mry</status> <forename>ʕbdʔlhʔ</forename></persName>,<persName><status>mry</status> <forename>ʔysḥq</forename></persName>,"<persName ref=""mry ywḥnn dqnh""><status>mry</status> <forename>ywḥnn</forename> <addName>dqnh</addName></persName>",,"<persName ref=""mry sbʔ ʔsyʔ drwḥtʔ""><status>mry</status> <forename>sbʔ</forename> <virtue>ʔsyʔ drwḥtʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,<persName><forename>šwšn</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ʔrmnyʔ</nationality></persName>,<persName><status>mry</status> <forename>grygwryws</forename></persName>,<persName><forename>gdy</forename></persName>,<persName><status>mry</status> <forename>dnḥʔ</forename></persName>,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",<persName><forename>mqby</forename></persName>,,<persName><forename>mhlnyʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnbr</residence></persName>,,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ntpryʔ</residence></persName>,,"<persName ref=""mry ywḥnn ddhbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ddhbʔ</trait></persName>",<persName><status>mry</status> <forename>ʔwkmʔ</forename></persName>,<persName><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>,"<persName ref=""mry mrnzkʔ""><status>mry</status> <forename ref=""mrnzkʔ"">mrn zkʔ</forename></persName>","<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <residence>šmšṭyʔ</residence></persName>",,<persName><status>rbn</status> <forename>br ʕdtʔ</forename></persName>,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgrtyʔ</residence></persName>",<persName><status>mry</status> <forename>ptywn</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ywnyʔ</nationality></persName>,<persName><status>mry</status> <forename>ywzdq</forename></persName>,<persName><forename>mqby</forename></persName>,"<persName ref=""mry bby dsmqʔ""><status>mry</status> <forename>bby</forename> d<residence>smqʔ</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qwzryʔ</residence></persName>,<persName><forename>trsy</forename></persName>,,<persName><forename>ʔsṭrṭnyqʔ</forename></persName>,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmyn</residence></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>Ɂyšnk</residence></persName>,<persName><status>mry</status> <forename>ʕbdʔ</forename></persName>,<persName><status>mry</status> <forename>gwryʔ</forename></persName>,<persName><status>mry</status> <forename>šlymwn</forename></persName>​,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmyn</residence></persName>",,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>","<persName ref=""mry ywḥnn dqnh""><status>mry</status> <forename>ywḥnn</forename> <addName>dqnh</addName></persName>","<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>prngyʔ</nationality></persName>,"<persName ref=""mry ʔprym""><status>mry</status> <forename>ʔprym</forename></persName>",<persName><forename>trsy</forename></persName>,<persName><status>mry</status> <forename>srgys</forename> <addName>dwdʔ</addName></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>pynkyʔ</residence></persName>,<persName><forename>ḥbrwn</forename></persName>,,<persName><forename>ʔsṭrṭnyqʔ</forename></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrk</residence></persName> <!-- spelling mistake -->","<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lqw</residence></persName>",,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>","<persName ref=""mry ṭṭws""><status>mry</status> <forename>ṭṭws</forename></persName>",<persName><status>mry</status> <forename>bṭlʔ</forename></persName>​,<persName><status>mry</status> <forename>pwṭynʔ</forename></persName>,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",,<persName><status>mry</status> <forename>ḥnnyʔ</forename></persName>,"<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>šmšṭyʔ</residence></persName>",<persName><forename>gdy</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>hnglwsyʔ</nationality></persName>,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename></persName>",<persName><forename>ḥbrwn</forename></persName>,"<persName ref=""mry kwdʔhwy dbyt ḥlʔ""><status>mry</status> <forename ref=""kwdʔhwy"">kwdwhy</forename> d<residence>byt ḥylʔ</residence></persName>","<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <addName>mpnʔ šʔln</addName></persName>","<persName ref=""ḥbṣwn""><forename>ḥbṣwn</forename></persName>",,<persName><forename>pmbrwnyʔ</forename></persName>,<persName><forename>pṭrws</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qwzryʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,,"<persName ref=""mry ywḥnn br ʔbgrʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br ʔbgr</addName></persName>",<persName><status>mry</status> <forename>kwmʔ</forename></persName>,<persName><status>mry</status> <forename>yʕqwb</forename> <virtue>mpsqʔ</virtue></persName>,<group>shdʔ d<residence>ṭwrʔ dnyḥ</residence></group>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qwzryʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> <residence>ʔwrmy</residence></persName>",<persName><forename>mqby</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>gwrgyʔ</nationality></persName>,<persName><status>mry</status> <forename>zdyqʔ</forename></persName>,"<persName ref=""ḥbṣwn""><forename>ḥbṣwn</forename></persName>",<persName><status>mry</status> <forename>ywnn</forename> d<residence>ʔynbr</residence></persName>,"<persName ref=""mry ywḥnn dkrnʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>krnʔ</residence></persName>","<persName ref=""bkws""><forename>bkws</forename></persName>",,<persName><status>mry</status> <forename>ʕbdʔ</forename></persName>,"<persName ref=""pwlws""><forename>pwlws</forename></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>pynkyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><status>mry</status> <forename>ywsp</forename></persName>,<persName><status>mry</status> <forename>zkʔ</forename></persName>​,<persName><status>mry</status> <forename>brkyšwʕ</forename></persName>,"<persName ref=""mry ywḥnn br pnkyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>pnkyʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> <residence>ʔnzl</residence></persName>",<persName><forename>trsy</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>rhwmyʔ</nationality></persName>,"<persName ref=""ddyšwʕ""><status>mry</status> <forename>ddyšwʕ</forename></persName>",<persName><forename>bkws</forename></persName>,"<persName ref=""mry šmʕwn dʔsṭwnʔ""><status>mry</status> <forename>šmʕwn</forename> <virtue>dʔsṭwnʔ</virtue></persName>","<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšh</addName></persName>",<persName><forename>ywndb</forename></persName>,,<persName><status>mry</status> <forename>ywnn</forename></persName>,<persName><forename>mty</forename></persName>,,"<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <addName>mpnʔ šʔln</addName></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mrtʔ</addName></persName>,<persName><status>mry</status> <forename>dnḥʔ</forename></persName>,<persName><status>mry</status> <forename>šlymwn</forename></persName>​,<persName><status>mr</status> <forename>br qwsrʔ</forename></persName>,"<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <forename>ywḥnn</forename> <addName>mpnʔ šʔln</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔbylʔ</virtue></persName>,"<persName ref=""mry ywḥnn dkrnʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>krnʔ</residence></persName>",<persName><forename>ḥbrwn</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ʔtwryʔ</nationality></persName>,<persName><status>mry</status> <forename>gbybʔ</forename></persName>,<persName><forename>ywndb</forename></persName>,<persName><status>mry</status> <forename>gbryl</forename> <trait>dsrpʔ</trait></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>dznh</addName></persName>,<persName><forename>ʔlyʕzr</forename></persName>,,lost part of the folio,<persName><forename>mrqws</forename></persName>,,"<persName ref=""mry ywḥnn dkrnʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>krnʔ</residence></persName>","<persName ref=""mry ywḥnn br pnkyʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>pnkyʔ</addName></persName>",,"<persName ref=""mry ywḥnn br bdmh""><status>mry</status> <forename>ywḥnn</forename> <addName>br bdmh</addName></persName>",<persName><status>mry</status> <forename>bby</forename></persName>,<persName><status>mry</status> <forename>grygwryws</forename></persName>​,<persName><status>mry</status> <forename>ʔlyʔ</forename></persName>,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>","<persName ref=""ḥbṣwn""><forename>ḥbṣwn</forename></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>bblyʔ</nationality></persName>,<persName><status>mry</status> <forename>ḥbybʔ</forename></persName>,<persName><forename>ʔlyʕzr</forename></persName>,<persName><status>mry</status> <forename>gbrwnʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnbr</residence></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <virtue>shdtʔ</virtue></persName>",,<persName><forename>yʕqwb</forename> d<residence>nṣybyn</residence></persName>,<persName><forename>lwqʔ</forename></persName>,,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> d<addName>dšh</addName></persName>","<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qyqlyʔ</residence></persName>",,<persName><status>rbn</status> <forename>br ʕdtʔ</forename></persName>,<persName><status>mry</status> <forename>srgys</forename></persName>,lost part of the scroll,<persName><status>mry</status> <forename>mykʔyl</forename></persName>,"<persName ref=""mry ywḥnn dkrnʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>krnʔ</residence></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qyqlyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>qwzryʔ</residence></persName>,"<persName ref=""bkws""><forename>bkws</forename></persName>",
